epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,723.903,0.85926,0.60955,1.11455,0.88331,0.87671,0.92468,0.69853,0.87737,0.6857,1.09784,0.000990365,0.000990365,0.000990365
43,742.308,0.83128,0.59572,1.10009,0.86876,0.86474,0.91521,0.6844,0.93683,0.70776,1.13406,0.000973861,0.000973861,0.000973861
44,760.382,0.84025,0.56883,1.10668,0.85314,0.90598,0.92425,0.69613,0.89182,0.68655,1.10419,0.000957358,0.000957358,0.000957358
45,778.572,0.83456,0.559,1.09326,0.88142,0.8794,0.92094,0.68159,0.94857,0.6744,1.13938,0.000940855,0.000940855,0.000940855
46,796.608,0.81966,0.5451,1.08732,0.91873,0.87391,0.92414,0.68383,0.92709,0.65073,1.12713,0.000924352,0.000924352,0.000924352
47,814.761,0.82296,0.54946,1.07781,0.91383,0.83269,0.90156,0.65841,0.94673,0.69806,1.13062,0.000907848,0.000907848,0.000907848
48,832.84,0.80051,0.55157,1.08659,0.9047,0.85855,0.92276,0.68636,0.92498,0.61856,1.12298,0.000891345,0.000891345,0.000891345
49,851.234,0.7907,0.53754,1.08227,0.92549,0.83908,0.92185,0.69342,0.8874,0.63421,1.10016,0.000874842,0.000874842,0.000874842
50,869.676,0.81132,0.53303,1.08429,0.91084,0.86004,0.92152,0.68145,0.89676,0.64376,1.10972,0.000858338,0.000858338,0.000858338
51,887.979,0.79018,0.50929,1.06639,0.84427,0.88632,0.93655,0.69728,0.92197,0.60355,1.12621,0.000841835,0.000841835,0.000841835
52,906.292,0.78954,0.51763,1.0708,0.91689,0.85855,0.92381,0.70178,0.91389,0.63071,1.11335,0.000825332,0.000825332,0.000825332
53,924.641,0.75684,0.4996,1.05153,0.85664,0.89663,0.92237,0.68723,0.89944,0.66537,1.09999,0.000808828,0.000808828,0.000808828
54,942.765,0.7698,0.51489,1.06855,0.83923,0.88365,0.9149,0.69084,0.90367,0.64079,1.10913,0.000792325,0.000792325,0.000792325
55,961.066,0.74759,0.50308,1.05652,0.91115,0.83841,0.92235,0.69127,0.90603,0.61024,1.1264,0.000775822,0.000775822,0.000775822
56,979.194,0.75922,0.50637,1.05652,0.90176,0.86004,0.91673,0.67078,0.91987,0.63128,1.12336,0.000759318,0.000759318,0.000759318
57,997.592,0.73949,0.48223,1.04802,0.89087,0.85439,0.91693,0.69511,0.91836,0.64545,1.12446,0.000742815,0.000742815,0.000742815
58,1015.82,0.73009,0.49574,1.0511,0.86661,0.85449,0.917,0.69908,0.8951,0.66561,1.1224,0.000726312,0.000726312,0.000726312
59,1034.04,0.72105,0.47468,1.02929,0.87568,0.8621,0.91536,0.68236,0.92637,0.63081,1.12535,0.000709809,0.000709809,0.000709809
60,1052.47,0.71206,0.48209,1.03946,0.87694,0.86859,0.9261,0.70602,0.89895,0.60311,1.11442,0.000693305,0.000693305,0.000693305
61,1070.84,0.73389,0.48317,1.04761,0.86875,0.9141,0.93411,0.69544,0.93693,0.60786,1.14725,0.000676802,0.000676802,0.000676802
62,1089.23,0.72902,0.47783,1.04253,0.91593,0.85356,0.9217,0.69242,0.92417,0.6119,1.11931,0.000660299,0.000660299,0.000660299
63,1107.57,0.71563,0.47056,1.03428,0.92258,0.85855,0.92025,0.67912,0.92153,0.6441,1.11295,0.000643795,0.000643795,0.000643795
64,1125.97,0.71648,0.45678,1.0376,0.8953,0.87472,0.91457,0.69181,0.89826,0.64491,1.11913,0.000627292,0.000627292,0.000627292
65,1144.21,0.71229,0.45669,1.03084,0.89445,0.8641,0.92218,0.69294,0.93098,0.65934,1.1329,0.000610789,0.000610789,0.000610789
66,1162.73,0.69595,0.45362,1.03323,0.87904,0.88608,0.92463,0.69783,0.92339,0.64972,1.11378,0.000594286,0.000594286,0.000594286
67,1181.23,0.68867,0.45524,1.0257,0.89698,0.85632,0.92068,0.69435,0.89941,0.5997,1.10974,0.000577782,0.000577782,0.000577782
68,1199.63,0.701,0.44647,1.03557,0.90678,0.85289,0.92091,0.69397,0.90578,0.63036,1.1059,0.000561279,0.000561279,0.000561279
69,1218.16,0.69786,0.44953,1.03391,0.90271,0.88224,0.93132,0.70789,0.89192,0.59854,1.08447,0.000544776,0.000544776,0.000544776
70,1236.73,0.67848,0.43962,1.02037,0.87152,0.88757,0.92974,0.70684,0.87875,0.59095,1.08247,0.000528272,0.000528272,0.000528272
71,1255.35,0.67816,0.44064,1.02188,0.8643,0.87872,0.9126,0.69684,0.91362,0.64961,1.1071,0.000511769,0.000511769,0.000511769
72,1273.94,0.67015,0.42588,1.00888,0.88322,0.85991,0.91989,0.70196,0.87603,0.60728,1.09317,0.000495266,0.000495266,0.000495266
73,1292.37,0.66224,0.42658,1.00729,0.85847,0.89163,0.92298,0.70421,0.87907,0.60338,1.10178,0.000478762,0.000478762,0.000478762
74,1310.9,0.64661,0.41743,1.01008,0.93005,0.84399,0.92867,0.70899,0.86697,0.58575,1.08114,0.000462259,0.000462259,0.000462259
75,1329.67,0.62728,0.42583,0.99865,0.88368,0.87887,0.92558,0.70821,0.87049,0.57721,1.08064,0.000445756,0.000445756,0.000445756
76,1348.19,0.63953,0.42339,1.00463,0.92311,0.83863,0.92196,0.7055,0.8897,0.56923,1.10024,0.000429253,0.000429253,0.000429253
77,1366.8,0.62127,0.40083,0.98644,0.95008,0.8581,0.93276,0.69996,0.88695,0.58331,1.10002,0.000412749,0.000412749,0.000412749
78,1385.24,0.62274,0.39904,0.98214,0.91984,0.85043,0.92257,0.69988,0.88706,0.61558,1.10449,0.000396246,0.000396246,0.000396246
79,1404.04,0.63653,0.41689,1.00064,0.90452,0.84621,0.92402,0.70697,0.87594,0.64978,1.10703,0.000379743,0.000379743,0.000379743
80,1422.47,0.6138,0.40213,0.98991,0.94645,0.82043,0.92745,0.71026,0.89075,0.62715,1.11513,0.000363239,0.000363239,0.000363239
81,1441.5,0.61193,0.40686,0.99588,0.91911,0.83764,0.92249,0.71615,0.88653,0.62453,1.10857,0.000346736,0.000346736,0.000346736
82,1460.12,0.60481,0.40979,0.99433,0.86911,0.87045,0.92076,0.70463,0.87409,0.64428,1.10276,0.000330233,0.000330233,0.000330233
83,1478.76,0.62596,0.39469,0.99109,0.89381,0.86709,0.92599,0.7082,0.89189,0.63645,1.11359,0.000313729,0.000313729,0.000313729
84,1497.33,0.58806,0.37963,0.98384,0.93955,0.83526,0.92142,0.70342,0.90607,0.61882,1.1132,0.000297226,0.000297226,0.000297226
85,1516.06,0.57489,0.37889,0.96549,0.9178,0.84637,0.91945,0.70145,0.88858,0.63097,1.10145,0.000280723,0.000280723,0.000280723
86,1534.77,0.57105,0.37095,0.97992,0.90628,0.8635,0.92696,0.6976,0.9057,0.63724,1.12235,0.00026422,0.00026422,0.00026422
87,1553.37,0.57899,0.37565,0.97668,0.89112,0.88364,0.91574,0.70415,0.88652,0.60516,1.12309,0.000247716,0.000247716,0.000247716
88,1572.01,0.58064,0.37841,0.97508,0.87809,0.88077,0.91382,0.70744,0.90241,0.61317,1.12368,0.000231213,0.000231213,0.000231213
89,1590.67,0.58452,0.37736,0.9708,0.88081,0.88092,0.92365,0.71196,0.88313,0.60964,1.11783,0.00021471,0.00021471,0.00021471
90,1609.25,0.57299,0.36892,0.97489,0.89812,0.86004,0.92644,0.71185,0.87129,0.5947,1.10527,0.000198206,0.000198206,0.000198206
91,1628.94,0.51925,0.33118,0.90856,0.93244,0.86966,0.92385,0.7101,0.88398,0.59417,1.11143,0.000181703,0.000181703,0.000181703
92,1647.6,0.50945,0.31453,0.911,0.90447,0.8641,0.9225,0.70268,0.89038,0.58322,1.10836,0.0001652,0.0001652,0.0001652
93,1666.31,0.50842,0.31794,0.91346,0.94271,0.83191,0.92875,0.71222,0.88036,0.58398,1.10274,0.000148696,0.000148696,0.000148696
94,1684.91,0.50584,0.31423,0.91331,0.91545,0.85333,0.92557,0.7074,0.89196,0.60459,1.11091,0.000132193,0.000132193,0.000132193
95,1703.63,0.49493,0.30304,0.90717,0.91579,0.8509,0.92913,0.71113,0.894,0.58428,1.10477,0.00011569,0.00011569,0.00011569
96,1722.43,0.48197,0.29302,0.89319,0.9133,0.85757,0.92206,0.71642,0.88783,0.57785,1.10821,9.91865e-05,9.91865e-05,9.91865e-05
97,1741.68,0.47746,0.29247,0.89074,0.9186,0.85182,0.92343,0.71381,0.89392,0.58903,1.11884,8.26832e-05,8.26832e-05,8.26832e-05
98,1760.49,0.4837,0.29228,0.89294,0.93,0.84487,0.92048,0.70983,0.89374,0.58528,1.12262,6.61799e-05,6.61799e-05,6.61799e-05
99,1779.31,0.46971,0.29241,0.88949,0.93563,0.84487,0.92226,0.70716,0.8947,0.57648,1.1273,4.96766e-05,4.96766e-05,4.96766e-05
100,1797.86,0.46659,0.29236,0.89864,0.92525,0.84487,0.92508,0.70881,0.88828,0.56497,1.11862,3.31733e-05,3.31733e-05,3.31733e-05
